Time;Price (cent/kWh)
24/10/2023 16.59;9,227
24/10/2023 17.59;22,631
24/10/2023 18.59;20,47
24/10/2023 19.59;19,547
24/10/2023 20.59;5,249
24/10/2023 21.59;4,96
24/10/2023 22.59;4,959
24/10/2023 23.59;2,649
25/10/2023 0.59;4,562
25/10/2023 1.59;3,556
25/10/2023 2.59;3,05
25/10/2023 3.59;2,481
25/10/2023 4.59;4,801
25/10/2023 5.59;6,547
25/10/2023 6.59;7,44
25/10/2023 7.59;15,488
25/10/2023 8.59;13,092
25/10/2023 9.59;12,829
25/10/2023 10.59;14,879
25/10/2023 11.59;15,49
25/10/2023 12.59;8,061
25/10/2023 13.59;8,68
25/10/2023 14.59;7,44
25/10/2023 15.59;7,439
25/10/2023 16.59;8,68
25/10/2023 17.59;8,065
25/10/2023 18.59;8,072
25/10/2023 19.59;5,054
25/10/2023 20.59;3,198
25/10/2023 21.59;3,101
25/10/2023 22.59;3,757
25/10/2023 23.59;2,499
26/10/2023 0.59;2,521
26/10/2023 1.59;2,38
26/10/2023 2.59;2,296
26/10/2023 3.59;2,308
26/10/2023 4.59;2,471
26/10/2023 5.59;3,688
26/10/2023 6.59;4,437
26/10/2023 7.59;7,671
26/10/2023 8.59;7,13
26/10/2023 9.59;8,484
26/10/2023 10.59;8,488
26/10/2023 11.59;8,934
26/10/2023 12.59;8,93
26/10/2023 13.59;8,676
26/10/2023 14.59;8,413
26/10/2023 15.59;8,778
26/10/2023 16.59;8,849
26/10/2023 17.59;9,839
26/10/2023 18.59;9,429
26/10/2023 19.59;8,493
26/10/2023 20.59;5,803
26/10/2023 21.59;4,887
26/10/2023 22.59;4,674
26/10/2023 23.59;4,243
27/10/2023 0.59;6,31
27/10/2023 1.59;6,165
27/10/2023 2.59;6,029
27/10/2023 3.59;5,86
27/10/2023 4.59;6,159
27/10/2023 5.59;6,1
27/10/2023 6.59;8,836
27/10/2023 7.59;13,161
27/10/2023 8.59;18,55
27/10/2023 9.59;18,348
27/10/2023 10.59;13,449
27/10/2023 11.59;13,456
27/10/2023 12.59;14,706
27/10/2023 13.59;13,194
27/10/2023 14.59;12,204
27/10/2023 15.59;9,908
27/10/2023 16.59;10,995
27/10/2023 17.59;15,109
27/10/2023 18.59;16,792
27/10/2023 19.59;14,879
27/10/2023 20.59;9,156
27/10/2023 21.59;8,506
27/10/2023 22.59;5,714
27/10/2023 23.59;5,447
28/10/2023 0.59;4,96
28/10/2023 1.59;4,501
28/10/2023 2.59;4,359
28/10/2023 3.59;4,266
28/10/2023 4.59;4,387
28/10/2023 5.59;4,931
28/10/2023 6.59;5,178
28/10/2023 7.59;8,612
28/10/2023 8.59;10,376
28/10/2023 9.59;10,772
28/10/2023 10.59;10,192
28/10/2023 11.59;8,649
28/10/2023 12.59;8,454
28/10/2023 13.59;8,217
28/10/2023 14.59;8,823
28/10/2023 15.59;9,417
28/10/2023 16.59;10,87
28/10/2023 17.59;16,12
28/10/2023 18.59;18,028
28/10/2023 19.59;11,455
28/10/2023 20.59;8,53
28/10/2023 21.59;7,677
28/10/2023 22.59;7,259
28/10/2023 23.59;5,746
29/10/2023 0.59;4,257
29/10/2023 1.59;3,372
29/10/2023 2.59;3,142
29/10/2023 3.59;2,771
29/10/2023 3.59;2,623
29/10/2023 4.59;2,722
29/10/2023 5.59;2,831
29/10/2023 6.59;3,101
29/10/2023 7.59;3,167
29/10/2023 8.59;3,011
29/10/2023 9.59;2,967
29/10/2023 10.59;2,894
29/10/2023 11.59;2,939
29/10/2023 12.59;2,863
29/10/2023 13.59;2,78
29/10/2023 14.59;2,848
29/10/2023 15.59;4,247
29/10/2023 16.59;7,522
29/10/2023 17.59;8,163
29/10/2023 18.59;7,278
29/10/2023 19.59;5,47
29/10/2023 20.59;5,069
29/10/2023 21.59;4,251
29/10/2023 22.59;3,757
29/10/2023 23.59;3,049
30/10/2023 0.59;2,301
30/10/2023 1.59;1,56
30/10/2023 2.59;1,469
30/10/2023 3.59;1,433
30/10/2023 4.59;2,146
30/10/2023 5.59;4,643
30/10/2023 6.59;9,629
30/10/2023 7.59;9,565
30/10/2023 8.59;13,764
30/10/2023 9.59;12,772
30/10/2023 10.59;11,16
30/10/2023 11.59;11,925
30/10/2023 12.59;12,715
30/10/2023 13.59;14,213
30/10/2023 14.59;15,374
30/10/2023 15.59;16,11
30/10/2023 16.59;16,115
30/10/2023 17.59;16,118
30/10/2023 18.59;16,109
30/10/2023 19.59;10,73
30/10/2023 20.59;7,694
30/10/2023 21.59;5,702
30/10/2023 22.59;4,248
30/10/2023 23.59;3,462
31/10/2023 0.59;3,667
31/10/2023 1.59;3,672
31/10/2023 2.59;3,705
31/10/2023 3.59;3,783
31/10/2023 4.59;3,715
